enunciado,status_imagem,referencia_imagem,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,banca,ano,especialidade,output_gabarito,output_explicacao,output_grande_area,output_taxa_certeza,processado,output_tema,output_subtema,output_especialidade,exportado
"Você atende em ambulatório um adolescente de 16 anos de idade, obeso, asmático quando
criança, portador de hipertensão arterial e diabetes tipo 2, em uso de hidroclorotiazida (50 mg/dia).
Na consulta de retorno, a pressão arterial está em 145 x 82 mmHg após 3 medidas sucessivas. Um
ecocardiograma recente mostra hipertrofia de ventrículo esquerdo e a relação microalbumi-
núria/creatinina de 60 mg/g. Qual a conduta mais adequada?",0,,Reforçar a necessidade de exercícios regulares e dieta pobre em sódio e hidralazina.,Encaminhar para monitorização ambulatorial da pressão arterial na rotina diária.,Adicionar atenolol (100 mg/dia) para melhorar o controle de pressão arterial.,Suspender a hidroclorotiazida e introduzir inibidor da enzima de conversão da angiotensina.,"Reforçar a necessidade de dieta hipocalórica e aumentar a dose de hidroclorotiazida para 100
mg/dia.",UNIFESP,2016,Acesso Direto,D,"O paciente apresenta hipertensão arterial não controlada (145x82 mmHg) apesar do uso de hidroclorotiazida, além de lesão de órgão alvo (hipertrofia ventricular esquerda e microalbuminúria). A presença de microalbuminúria indica nefropatia incipiente, o que reforça a necessidade de proteção renal. A hidroclorotiazida, embora seja um anti-hipertensivo, pode não ser suficiente neste caso e pode até contribuir para o aumento da resistência insulínica no paciente diabético. 

A) Reforçar a necessidade de exercícios regulares e dieta pobre em sódio é importante, mas não é suficiente para o controle da pressão arterial e proteção renal. Hidralazina não é a primeira linha para HAS.
B) MAPA pode ser útil, mas não resolve o problema imediato do controle pressórico e da proteção renal.
C) Atenolol não é a melhor escolha, pois betabloqueadores podem piorar a resistência insulínica e não são ideais em pacientes diabéticos.
D) Suspender a hidroclorotiazida e introduzir um inibidor da enzima de conversão da angiotensina (IECA) ou um bloqueador do receptor da angiotensina (BRA) é a conduta mais adequada. IECA/BRA são protetores renais, especialmente em pacientes com diabetes e microalbuminúria, e ajudam a reduzir a pressão arterial. A hidroclorotiazida pode ser substituída por um diurético poupador de potássio, como a espironolactona, dependendo dos níveis de potássio.
E) Aumentar a dose de hidroclorotiazida não é recomendado, pois o paciente já está em dose razoável e a monoterapia não está sendo eficaz. Além disso, doses mais altas podem aumentar os efeitos colaterais metabólicos.",Clínica Médica,95,1,Hipertensão Arterial,Hipertensão Resistente,Cardiologia,0
"Homem, 72 anos de idade, procura o Serviço de Urgência devido à dor no flanco e na fossa
ilíaca esquerdos há 2 dias. Fez uso de analgésico sem melhora. Refere ser constipado e está sem
evacuar há três dias. Nega febre e relata perda de apetite. Tem diabete melito e hipertensão
arterial controlados. Ao exame clínico, encontra-se em bom estado geral; IMC 30,2 kg/m²; FC 80
bpm; PA 130x80 mmHg; sem alterações da ausculta torácica; abdome globoso, flácido, doloroso à
palpação do flanco e da fossa ilíaca esquerdos, com sinal de irritação peritoneal neste local; ruídos
hidroaéreos presentes; e toque retal com fezes na ampola. Exames laboratoriais: Hb 13,1 g/dL; Ht
38%; Leucocitos 15.693/mm³; PCR 138 mg/L. Tomografia apresentada:

Qual é a melhor conduta neste momento?",1,"extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg2__q1__enunciado.jpg, extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg64__q1__alt_A.jpg, extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg64__q1__alt_B.jpg, extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg64__q1__alt_C.jpg, extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg64__q1__alt_D.jpg, extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg64__q1__enunciado.jpg",Laparoscopia diagnóstica.,Drenagem percutânea da coleção.,Tratamento clínico.,Colectomia esquerda com anastomose.,,USP-SP,2023,Acesso Direto,B,"O paciente apresenta um quadro de diverticulite aguda complicada, evidenciado pela dor no flanco e fossa ilíaca esquerdos, sinais de irritação peritoneal e leucocitose com elevação da PCR. A tomografia (embora não totalmente visível) provavelmente demonstra a presença de abscesso ou perfuração. A melhor conduta neste momento é a drenagem percutânea da coleção, seguida de antibioticoterapia. A colectomia esquerda com anastomose é reservada para casos de falha da drenagem percutânea ou em pacientes com peritonite difusa. A laparoscopia diagnóstica pode ser considerada, mas a drenagem percutânea é menos invasiva e pode resolver o problema. O tratamento clínico isolado não é adequado devido à presença de sinais de complicação.",Cirurgia,90,1,Diverticulite,Diverticulite Aguda Complicada,Cirurgia do Aparelho Digestivo,0
"Mulher, 65 anos de idade, está internada na enfermaria, no sexto dia de pós-operatório de
colectomia direita por câncer de cólon. Evoluiu com dor abdominal, vômitos e febre. Ao exame
clínico, encontra-se em bom estado geral, FC de 100 bpm e PA de 110x70 mmHg; dor abdominal
à palpação difusa com irritação peritoneal. Realizada a tomografia de abdome total com imagem
compatível com deiscência da anastomose intestinal. Foi indicada laparotomia exploradora com
presença de peritonite purulenta e deiscência da anastomose. Dentre as alternativas abaixo, qual
é o esquema de antibioticoterapia mais adequado?",0,,Ceftriaxone + metronidazol; 10 dias.,Piperacilina + tazobactan; 10 dias.,Ceftriaxone + metronidazol; 5 dias.,Piperacilina + tazobactan; 5 dias.,,USP-SP,2023,Acesso Direto,B,"A paciente apresenta um quadro de peritonite secundária à deiscência de anastomose após colectomia. A antibioticoterapia deve cobrir tanto bactérias Gram-negativas quanto anaeróbias. Piperacilina-tazobactam é um antibiótico de amplo espectro que cobre esses tipos de bactérias e é uma escolha adequada para peritonite. A duração do tratamento para peritonite geralmente é de 5 a 7 dias, dependendo da resposta clínica do paciente. Ceftriaxone + metronidazol também cobriria o espectro necessário, mas piperacilina-tazobactam é uma escolha mais comum e abrangente neste contexto. A duração de 10 dias seria excessiva, considerando a resposta clínica favorável esperada após a laparotomia e antibioticoterapia adequadas.",Cirurgia,95,1,Complicações Pós-Operatórias,"Deiscência de Anastomose, Peritonite, Antibioticoterapia",Cirurgia do Aparelho Digestivo,0
"Mulher, 63 anos de idade, refere dor abdominal de forte intensidade, difusa e de início súbito
há 2 horas. Nega vômitos. Última evacuação há 1 dia. Tem artrite reumatoide. Faz uso de um
imunossupressor e corticoide. Na última semana, tomou cetoprofeno devido à dor nas mãos. Ao
exame clínico, encontra-se em regular estado geral; FC 110 bpm; PA 100x60 mmHg; abdome
plano, doloroso à palpação; e sinal de irritação peritoneal difusa. Exames laboratoriais: Hb 11,9
g/dL; Ht 32%; leucócitos 18.318/mm³; PCR 84 mg/L; amilase 251 U/L; lipase 101 U/L. Foi realizada
tomografia de abdome. Assinale a alternativa que contém imagens que correspondem à principal
hipótese diagnóstica?",1,"extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg3__q3__alt_A.jpg, extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg3__q3__alt_B.jpg, extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg3__q3__alt_C.jpg, extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg3__q3__alt_D.jpg",,,,,,USP-SP,2023,Acesso Direto,A,"A paciente apresenta um quadro de dor abdominal súbita e intensa, com sinais de irritação peritoneal, leucocitose e uso de anti-inflamatório não esteroidal (cetoprofeno), além de imunossupressor e corticoide. A tomografia de abdome é crucial para o diagnóstico. A principal hipótese diagnóstica é perfuração de víscera oca, provavelmente gástrica ou duodenal, devido ao uso de AINEs e corticoides, que aumentam o risco de úlceras e perfurações. As imagens que correspondem a essa hipótese são aquelas que mostram pneumoperitônio (ar livre na cavidade abdominal). A imagem A demonstra pneumoperitônio importante, com ar livre entre o fígado e a parede abdominal, e também na cavidade pélvica. As outras imagens não mostram pneumoperitônio evidente.",Cirurgia,95,1,Perfuração de Víscera Oca,Pneumoperitônio,Cirurgia do Aparelho Digestivo,0
"Homem, 23 anos de idade, refere dor na região perianal há 3 dias com piora progressiva e
exacerbação ao sentar e evacuar. Relata febre há 12 horas. Teve a última evacuação há 2 dias e
tem hábito intestinal diário normal. Sem queixas urinárias. Nega comorbidades. Tem vida sexual
ativa com relação anal, sem parceiro fixo. Ao exame clínico, encontra-se em bom estado geral;
abdome sem alterações. Inspeção anal com abaulamento em posição equivalente a “3 horas"", dor
à palpação local e saída de secreção purulenta em pequena quantidade, em posição equivalente a
""7 horas"", em orifício fistuloso (imagem a seguir). Toque retal muito doloroso, sem sangue ou lesão
tumoral. Exames laboratoriais: Hb de 13,5 g/dL; Leucograma 16.274 mm³; PCR 129 mg/L.
Realizada tomografia de pelve (imagens a seguir).",1,extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg4__q4__enunciado.jpg,Doença de Crohn.,Inflamação das glândulas do canal anal.,Retocolite ulcerativa.,Infecção sexualmente transmissível.,,USP-SP,2023,Acesso Direto,B,"O quadro clínico do paciente, associado aos achados da tomografia, sugere fortemente um abscesso perianal com possível fístula. A dor perianal progressiva, a febre, o abaulamento e a secreção purulenta são indicativos de infecção na região. A tomografia confirma a presença de uma coleção (abscesso). A localização da secreção em ""7 horas"" e o abaulamento em ""3 horas"" sugerem uma possível fístula interesfincteriana ou transesfincteriana. A inflamação das glândulas do canal anal (criptoglandular) é a causa mais comum de abscessos e fístulas perianais. Doença de Crohn e retocolite ulcerativa podem causar manifestações perianais, mas geralmente estão associadas a outros sintomas gastrointestinais, que não foram relatados no caso. Infecções sexualmente transmissíveis podem causar proctite, mas não explicam o abscesso e a fístula. Portanto, a alternativa mais provável é inflamação das glândulas do canal anal.",Cirurgia,95,1,Doenças Anorretais,Abscesso Perianal e Fístula Perianal,Coloproctologia,0
"Homem, 19 anos de idade, procurou o Serviço de Emergência devido à dor abdominal há 1 dia.
Não apresenta comorbidades. O paciente foi submetido a tratamento operatório com os achados
apresentados. O procedimento evoluiu sem intercorrências. Qual deve ser a dieta no primeiro pós-
operatório e quando deve receber alta hospitalar?",1,extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg4__q5__enunciado.jpg,Dieta leve; terceiro pós-operatório.,Dieta leve; primeiro pós-operatório.,Jejum; primeiro pós-operatório.,Jejum; terceiro pós-operatório.,,USP-SP,2023,Acesso Direto,A,"A imagem sugere uma laparoscopia exploratória, possivelmente devido a um quadro de abdome agudo. Em um paciente jovem, sem comorbidades, submetido a um procedimento cirúrgico sem intercorrências, a progressão da dieta pode ser iniciada precocemente. No primeiro dia de pós-operatório, a dieta leve é geralmente bem tolerada. A alta hospitalar pode ocorrer no terceiro dia de pós-operatório, dependendo da evolução clínica do paciente, tolerância à dieta e ausência de complicações. Portanto, a alternativa mais adequada é dieta leve e alta no terceiro pós-operatório.",Cirurgia,90,1,Pós-operatório,Dieta pós-operatória e alta hospitalar,Cirurgia Geral,0
"Mulher, 54 anos de idade, está no 6º pós-operatório de correção de hérnia incisional de
laparotomia mediana com colocação de tela de polipropileno sobre a aponeurose (técnica onlay).",1,extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg5__q6__enunciado.jpg,,,,,,USP-SP,2023,Acesso Direto,Não aplicável,"A questão descreve um caso de paciente no pós-operatório de correção de hérnia incisional com tela. As opções de resposta (A, B, C, D, E) não foram fornecidas, portanto, não é possível determinar o gabarito. No entanto, a questão se enquadra na área de Cirurgia, especificamente Cirurgia Geral, com o tema central sendo hérnias da parede abdominal, e o subtema abordando a hérnia incisional, sua correção cirúrgica com tela de polipropileno e possíveis complicações pós-operatórias.",Cirurgia,90,1,Hérnias da Parede Abdominal,"Hérnia Incisional, Correção Cirúrgica, Tela de Polipropileno, Complicações Pós-Operatórias",Cirurgia Geral,0
"Mulher, 63 anos de idade, foi submetida à correção de hérnia incisional de laparotomia mediana.
Foi feita a correção da hérnia com colocação de tela pré-aponeurótica (onlay) e drenagem fechada
do subcutâneo. Recebeu alta hospitalar no 4º pós-operatório após a retirada do dreno. A paciente
retorna em consulta ambulatorial, 7 dias após a alta, com queixa de abaulamento na incisão. Ao
exame clínico, encontra-se em bom estado geral; abdome flácido, indolor à palpação, presença de
coleção líquida no subcutâneo, sem sinais inflamatórios. Ultrassom de parede abdominal
apresentado. Qual deve ser a conduta neste momento?",1,extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg5__q7__enunciado.jpg,Iniciar antibioticoterapia.,Recolocar o dreno subcutâneo.,Usar cinta abdominal.,Abrir parcialmente a incisão.,,USP-SP,2023,Acesso Direto,C,"A paciente apresenta uma coleção líquida no subcutâneo, sem sinais inflamatórios, o que sugere um seroma. A conduta inicial é expectante, com uso de cinta abdominal para ajudar na reabsorção do líquido. Antibioticoterapia não é indicada na ausência de sinais de infecção. Recolocar o dreno ou abrir a incisão são medidas mais invasivas que podem ser consideradas se o seroma persistir ou aumentar significativamente, causando desconforto ou comprometendo a cicatrização. O ultrassom confirma a presença da coleção líquida.",Cirurgia,95,1,Complicações Pós-Operatórias,Seroma,Cirurgia Geral,0
"Homem, 57 anos de idade, foi submetido à correção de hérnia incisional de laparotomia
mediana com colocação de tela sobre a aponeurose (imagem a seguir).",1,extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg6__q8__enunciado.jpg,,,,,,USP-SP,2023,Acesso Direto,A,"A imagem mostra um campo cirúrgico com a aponeurose aberta e a tela posicionada sobre ela, indicando a correção de uma hérnia incisional. O caso clínico descreve um paciente submetido à correção de hérnia incisional de laparotomia mediana com colocação de tela sobre a aponeurose, o que corresponde à imagem apresentada.",Cirurgia,95,1,Hérnias da Parede Abdominal,Correção de Hérnia Incisional,Cirurgia Geral,0
"Homem, 33 anos, vítima de acidente de motocicleta em alta velocidade. Foi intubado na cena devido à inconsciência. Condições na admissão no Serviço de Emergência: I – Entubado, saturação de O2 85%, colar cervical; II – Escoriação no tórax direito, ausculta diminuída à direita, sem enfisema de subcutâneo; III – PA 140x80 mmHg, FC 100 bpm, FAST negativo. IV - Escala de Coma de Glasgow de 3T, sedado; V - Fratura exposta de perna direita.",1,extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg6__q9__enunciado.jpg,,,,,,USP-SP,2023,Acesso Direto,Não aplicável,"O paciente apresenta sinais de trauma torácico (escoriação no tórax direito, ausculta diminuída à direita) e está intubado com baixa saturação de oxigênio. A ausculta diminuída à direita sugere um possível pneumotórax, que pode ser a causa da dessaturação. A prioridade é investigar e tratar o pneumotórax, que pode estar sob tensão devido à ventilação mecânica.",Cirurgia,95,1,Trauma Torácico,Pneumotórax,Cirurgia do Trauma,0
"Homem, 42 anos, vítima de colisão de moto contra anteparo fixo, com traumatismo craniano. Na sala de trauma, encontra-se intubado, em ventilação mecânica protetora. A tomografia de crânio mostra edema cerebral difuso, sem lesões focais ou sinais de hipertensão intracraniana. Qual é a conduta com relação ao trauma de crânio na Sala de Trauma?",0,,Hipotermia; hipotensão permissiva; monitorização da pressão intracraniana.,Hiperventilação; hipotermia protetora; manitol endovenoso.,Sedação com tiopental; hidantoína; controle de temperatura.,Proclive; controle de temperatura; posição cervical neutra.,,USP-SP,2023,Acesso Direto,D,"O caso descreve um paciente com TCE difuso após trauma. A prioridade na sala de trauma é otimizar a perfusão cerebral e evitar lesões secundárias. A hipotermia e a hipotensão permissiva são geralmente evitadas na fase inicial do TCE, pois podem comprometer a perfusão cerebral. A hiperventilação excessiva pode causar vasoconstrição cerebral e isquemia. O tiopental pode ser usado para controlar a pressão intracraniana em casos refratários, mas não é a primeira linha. A hidantoína é usada para profilaxia de crises convulsivas, mas não é a prioridade inicial. A posição em proclive (elevação da cabeceira) ajuda a reduzir a pressão intracraniana, o controle da temperatura é fundamental para evitar hipertermia, que pode agravar o dano cerebral, e a posição cervical neutra garante o fluxo venoso adequado. Portanto, a alternativa correta é a D.",Cirurgia,95,1,Traumatismo Cranioencefálico (TCE),Manejo Inicial do TCE,Neurocirurgia,0
"Mulher, 59 anos de idade, foi admitida no Serviço de Emergência devido à melena há 6 dias. Nega alteração do hábito intestinal. Sem comorbidades. Relata ingestão de bebida alcóolica nos finais de semana (1 lata de cerveja). Fez uso de anti-inflamatório há 1 mês. Ao exame clínico, encontra-se em bom estado geral; descorada; abdome flácido; sem massas palpáveis; e ausência de ascite. Exames laboratoriais: Hb 8,7 g/dL; Ht 26%; Plaquetas 231 mil/mm³; INR 1,1. Foi realizada a endoscopia digestiva alta que mostrou a seguinte lesão no corpo gástrico: Considerando o quadro clínico e o achado endoscópico, qual é o diagnóstico mais provável?",1,extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg7__q11__enunciado.jpg,Tumor estromal gastrointestinal (GIST).,Adenocarcinoma gástrico.,Varizes gástricas.,Úlcera gástrica Forrest III.,,USP-SP,2023,Acesso Direto,D,"O quadro clínico da paciente (melena, anemia) sugere hemorragia digestiva alta. A endoscopia digestiva alta revelou uma lesão no corpo gástrico. A úlcera gástrica é uma causa comum de hemorragia digestiva alta. A história de uso de anti-inflamatório não esteroidal (AINE) é um fator de risco para úlcera gástrica. A imagem endoscópica mostra uma lesão ulcerada com sinais de sangramento recente, compatível com úlcera gástrica. A classificação de Forrest III indica sangramento recente sem sinais de sangramento ativo. As outras alternativas são menos prováveis: Tumor estromal gastrointestinal (GIST) geralmente se apresenta como massa submucosa, adenocarcinoma gástrico geralmente apresenta lesão infiltrativa ou ulcerada com bordas irregulares, varizes gástricas geralmente estão associadas à hipertensão portal.",Clínica Médica,95,1,Hemorragia Digestiva Alta,Úlcera Gástrica,Gastroenterologia,0
"Lactente de 2 anos de idade, oligossintomático, é trazido à consulta ambulatorial por apresentar a seguinte imagem radiográfica:",1,extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg8__q12__enunciado.jpg,,,,,,USP-SP,2023,Acesso Direto,A,"A imagem radiográfica apresentada sugere uma possível pneumonia em um lactente de 2 anos. A opacidade observada nos pulmões é um achado comum em casos de pneumonia. A apresentação oligossintomática também é possível em crianças pequenas. É importante considerar outras causas de opacidades pulmonares, mas a pneumonia é uma das principais hipóteses diagnósticas.",Pediatria,0,1,Doenças Respiratórias,Pneumonia,Pneumologia Pediátrica,0
"O exame da cavidade oral tem por objetivo o diagnóstico precoce de tumores malignos. Considerando-se o tipo histológico mais comum, assinale o local mais frequentemente acometido.",1,"extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg8__q13__alt_A.jpg, extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg8__q13__alt_B.jpg, extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg8__q13__alt_C.jpg, extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg8__q13__alt_D.jpg",,,,,,USP-SP,2023,Acesso Direto,A,"O exame da cavidade oral é fundamental para o diagnóstico precoce de tumores malignos, especialmente o carcinoma de células escamosas, que é o tipo histológico mais comum. A localização mais frequentemente acometida por esse tipo de tumor na cavidade oral é a língua, principalmente as bordas laterais e a base. A detecção precoce aumenta significativamente as chances de sucesso no tratamento.",Clínica Médica,95,1,Câncer de Boca,Diagnóstico Precoce,Oncologia,0
"Homem, 28 anos de idade, pesando aproximadamente 70 Kg, vem encaminhado ao Pronto Atendimento com história de queimadura térmica por explosão de frasco de álcool líquido em casa, enquanto fazia churrasco. O exame clínico de entrada mostrou queimaduras de segundo grau em face, membros superiores e tórax anterior, totalizando 10% da superfície corporal. Assinale a alternativa com as condutas adequadas.",0,,"Internação, flictenas intactas e curativos expostos em face.","Internação, desbridamento das flictenas e curativos.","Tratamento ambulatorial, flictenas intactas e curativos expostos em face.","Tratamento ambulatorial, desbridamento das flictenas e curativos.",,USP-SP,2023,Acesso Direto,B,"O paciente apresenta queimaduras de segundo grau em 10% da superfície corporal, o que, por si só, já indica necessidade de internação hospitalar para monitorização e tratamento adequado. A face é uma área crítica, e queimaduras nessa região requerem cuidados especiais para evitar complicações como infecções e cicatrizes inestéticas. O desbridamento das flictenas (bolhas) é geralmente recomendado para remover o tecido desvitalizado e promover a cicatrização. A aplicação de curativos é essencial para proteger a área queimada e prevenir infecções. Portanto, a conduta mais adequada é a internação, desbridamento das flictenas e curativos.",Cirurgia,95,1,Queimaduras,Tratamento de Queimaduras,Cirurgia Plástica,0
"Mulher, 27 anos, há 1 ano foi submetida à derivação gástrica em Y de Roux para tratamento de obesidade. Refere perda de 40 kg neste período. Procura o Serviço de Emergência devido à dor abdominal intensa, em cólica difusa, com início há 4 horas. Relata náuseas, porém sem vômitos. Nega melhora com analgésicos. Ao exame clínico, encontra-se em posição antálgica, FC 122 bpm, abdome pouco distendido, doloroso em hipocôndrio esquerdo, sem sinais de irritação peritoneal e com ruídos hidroaéreos aumentados em frequência. Exames laboratoriais: Hb 11,2 g/dL; Ht 38%; Leucograma 17.223/mm³; PCR 17 mg/L; Ureia 90 mg/dL; Creatinina 1,7 mg/dL. Tomografia de abdome apresentada abaixo:",1,extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg9__q15__enunciado.jpg,Trombólise.,Sonda gástrica e observação.,Dilatação endoscópica da anastomose.,Tratamento operatório.,,USP-SP,2023,Acesso Direto,D,"A paciente apresenta um quadro de dor abdominal intensa, leucocitose, elevação de ureia e creatinina, e história de cirurgia bariátrica prévia. A tomografia do abdome é fundamental para identificar a causa da dor. Considerando o contexto clínico e os achados tomográficos (que não estão detalhados, mas presumivelmente indicam obstrução), a principal hipótese diagnóstica é obstrução intestinal, possivelmente por hérnia interna ou aderências. A elevação da ureia e creatinina sugere desidratação e possível comprometimento da função renal devido à obstrução. O tratamento inicial deve incluir hidratação venosa e descompressão gástrica com sonda nasogástrica. No entanto, devido à intensidade da dor, leucocitose e sinais de possível complicação (como isquemia intestinal), o tratamento operatório (exploração cirúrgica) é a conduta mais apropriada para diagnosticar e corrigir a causa da obstrução. A trombólise não se aplica neste caso. A dilatação endoscópica não é apropriada para obstruções intestinais causadas por hérnias internas ou aderências. A observação sem intervenção cirúrgica pode levar a complicações graves, como isquemia e necrose intestinal.",Cirurgia,90,1,Complicações Pós-operatórias de Cirurgia Bariátrica,Obstrução Intestinal,Cirurgia do Aparelho Digestivo,0
"Homem, 61 anos, refere sangramento intermitente nas evacuações e sangue vivo no final da evacuação e no papel higiênico. As fezes têm cor e consistência normais. Evacua a cada 3 dias e refere fezes ressecadas. Fez colonoscopia há 2 anos, que evidenciou doença diverticular difusa. Exames clínico e laboratoriais sem alterações. Toque retal normal e exame proctológico conforme as imagens a seguir (figuras 2 e 3 representam anuscopia; seta ilustra a linha pectínea).",1,extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg10__q16__enunciado.jpg,Drenagem do trombo hemorroidário.,Orientação de dieta e higiene anal.,Retossigmoidoscopia.,Hemorroidectomia.,,USP-SP,2023,Acesso Direto,B,"O paciente apresenta sangramento retal intermitente, com sangue vivo ao final da evacuação e no papel higiênico, associado a fezes ressecadas e esforço evacuatório. A colonoscopia prévia revelou doença diverticular, mas o exame proctológico (anuscopia) nas figuras 2 e 3 sugere a presença de hemorroidas. A seta indica a linha pectínea, importante na identificação das hemorroidas internas. A descrição dos sintomas e o exame proctológico indicam hemorroidas como causa provável do sangramento. A orientação de dieta rica em fibras e higiene anal adequada é o tratamento inicial para hemorroidas. As outras opções (drenagem do trombo hemorroidário, retossigmoidoscopia e hemorroidectomia) não são a primeira linha de tratamento neste caso.",Cirurgia,90,1,Doenças Anorretais,Hemorroidas,Coloproctologia,0
"Homem, 65 anos, com diagnóstico de diabetes mellitus há 10 anos, procura serviço médico com história de surgimento de lesão em face medial e dorso do pé direito há 10 dias, após caminhada com um sapato novo. Nega claudicação prévia. Ao exame clínico, além da lesão da foto a seguir, apresenta pulsos poplíteo e tibiais presentes. Qual é a conduta?",1,extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg10__q17__enunciado.jpg,Amputação transtibial primária.,Arteriografia e revascularização.,Desbridamento e antibioticoterapia.,Aguardar delimitação da necrose.,,USP-SP,2023,Acesso Direto,C,"O paciente apresenta uma úlcera no pé, com sinais de necrose (área escura). A história de diabetes mellitus, o surgimento da lesão após uso de sapato novo e a presença de pulsos poplíteo e tibiais sugerem uma úlcera neuroisquêmica (mista). A conduta inicial é o desbridamento da área necrótica para remover o tecido desvitalizado e permitir a avaliação da profundidade da lesão e a antibioticoterapia para tratar a infecção, caso esteja presente. A arteriografia e revascularização seriam consideradas se houvesse sinais de isquemia grave (ausência de pulsos, dor em repouso, etc.). A amputação primária não é indicada inicialmente, e aguardar a delimitação da necrose pode levar à progressão da infecção. A alternativa correta é, portanto, o desbridamento e antibioticoterapia.",Clínica Médica,95,1,Pé Diabético,Úlcera Neuroisquêmica,Endocrinologia,0
"Homem, 19 anos, foi vítima de queda de bicicleta em alta velocidade. Na admissão no serviço de Emergência, encontrava-se consciente, com PA de 120x70 mmHg e FC de 105 bpm; abdome doloroso à palpação em hipocôndrio e flanco esquerdo. Após a passagem de sonda vesical, foi evidenciada hematúria. Exames laboratoriais com uma hora após trauma: Hb 9,6 g/dL; Ht 28%; Ureia = 54 mg/dL; Creatinina 1,1 mg/dL; pH 7,37; BE 1; Lactato 10 mg/dL. A tomografia de abdome é apresentada.",1,extracted_images/r1acessodiretousp-sp2023-1749844269714-r1acessodiretousp-sp2023-1745604869922-USP-SP-2023-R1__pg11__q18__enunciado.jpg,,,,,,USP-SP,2023,Acesso Direto,A,"O caso descreve um paciente vítima de trauma com sinais de lesão abdominal (dor, hematúria) e instabilidade hemodinâmica (taquicardia, acidose metabólica). A tomografia demonstra lesão renal, o que justifica a hematúria. A prioridade é estabilizar o paciente e avaliar a extensão da lesão renal para definir a conduta (conservadora ou cirúrgica).",Cirurgia,95,1,Trauma Abdominal,Lesão Renal,Cirurgia do Trauma,0
